unique_id,uptick_name,date,title,url,TRIPI (1),TRIPI (2),Category (1),Category (2)
2d20180425n1.pdf,hkex,2018-04-25,Poll Results of 2018 Annual General Meeting ,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180425news/180425news.pdf,,,,
2d20180424n1.pdf,hkex,2018-04-24,"Hong Kong’s Listing Regime Enters New Era, Featuring Emerging and Innovative Firms",http://www.hkex.com.hk/News/News-Release/2018/180424news?sc_lang=en,,,,
2d20180417n1.pdf,hkex,2018-04-17,HKEX Confirms Date for After-Hours Trading of Equity Index Options and Outlines New Trading Halt Feature for Options Trading in T+1 Session ,http://www.hkex.com.hk/News/News-Release/2018/180417news?sc_lang=en,,,,
2d20180413n1.pdf,hkex,2018-04-13,Exchange Updates Guidance Letter on IPO Vetting and Suitability for Listing ,http://www.hkex.com.hk/News/News-Release/2018/1804132news?sc_lang=en,,,,
2d20180413n2.pdf,hkex,2018-04-13,Forfeiture of Unclaimed Final Dividend for 2011,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/1804133news/1804133news.pdf,,,,
2d20180413n3.pdf,hkex,2018-04-13,The GEM Listing Committee censures G.A. Holdings Limited (stock code: 8126) and a number of its former directors for breaching the GEM Listing Rules and/or the Director’s Undertaking,http://www.hkex.com.hk/News/News-Release/2018/180413news?sc_lang=en,,,,
2d20180411n1.pdf,hkex,2018-04-11,HKEX Comments on Stock Connect Daily Quota Expansion,http://www.hkex.com.hk/News/News-Release/2018/180411news?sc_lang=en,,,,
2d20180410n1.pdf,hkex,2018-04-10,HKEX Welcomes its First ETF on Chinese Internet Companies,http://www.hkex.com.hk/News/News-Release/2018/1804102news?sc_lang=en,,,,
2d20180410n2.pdf,hkex,2018-04-10,HKEX Marks Fifth Anniversary of After-Hours Derivatives Trading,http://www.hkex.com.hk/News/News-Release/2018/180410news?sc_lang=en,,,,
2d20180406n1.pdf,hkex,2018-04-06,"Adjustment of Li & Fung Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/180406news?sc_lang=en,,,,
2d20180403n1.pdf,hkex,2018-04-03,Opening Remarks by HKEX Chief Executive Charles Li at Legislative Council Panel on Financial Affairs,http://www.hkex.com.hk/News/News-Release/2018/1804033news?sc_lang=en,,,,
2d20180403n2.pdf,hkex,2018-04-03,Listing Nominating Committee Extends Application Period for Listing Committee Candidates,http://www.hkex.com.hk/News/News-Release/2018/180403news?sc_lang=en,,,,
2d20180403n3.pdf,hkex,2018-04-03,"The Listing Committee censures Mr. Fu Ji Wen, a former executive director of Huarong International Financial Holdings Limited (stock code: 993), for breaching the Director’s Undertaking.",http://www.hkex.com.hk/News/News-Release/2018/1804032news?sc_lang=en,,,,
2d20180329n1.pdf,hkex,2018-03-29,"Report on Initial Public Offering Applications, Delisting and Suspensions (As at 29 March 2018)",http://www.hkex.com.hk/News/News-Release/2018/180229news?sc_lang=en,,,,
2d20180328n1.pdf,hkex,2018-03-28,"Adjustment of PICC P&C Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/180328news?sc_lang=en,,,,
